mode,block,sample,segment,response_ratio
lift_early,0,0,0,0.0
lift_early,0,1,0,-6.081443328873262e-07
lift_early,0,2,0,-1.5218058336036813e-06
lift_early,0,3,0,-1.929256164878748e-06
lift_early,0,4,0,-2.02831949765983e-06
lift_early,0,5,0,-1.966834863269465e-06
lift_early,0,6,0,-2.6690324053696133e-06
lift_early,0,7,0,-2.710585895011712e-06
lift_early,0,8,0,-3.5984823908634576e-06
lift_early,0,9,0,-4.642442408238747e-06
lift_early,0,10,0,-7.5052630280205415e-06
lift_early,0,11,0,-9.86153479099412e-06
lift_early,0,12,0,-5.33294324387244e-06
lift_early,0,13,0,3.5299366426248964e-06
lift_early,0,14,0,5.696711602354031e-06
lift_early,0,15,0,-4.234429999007597e-06
lift_early,0,16,0,-1.3829975664218937e-05
lift_early,0,17,0,-1.6315840614635645e-05
lift_early,0,18,0,-1.3680373797552601e-05
lift_early,0,19,0,-1.4232949480397878e-05
lift_early,0,20,0,0.0013897864514190253
lift_early,0,21,0,0.0003900252298212799
lift_early,0,22,0,0.0006226693878040451
lift_early,0,23,0,-0.0009868551998143589
lift_early,0,24,0,-0.004395049376303258
lift_early,0,25,0,0.0021804148241137415
lift_early,0,26,0,0.0025125303575309977
lift_early,0,27,0,0.004142585044618451
lift_early,0,28,0,0.00806712770525632
lift_early,0,29,0,0.013470114121985682
lift_early,0,30,0,0.016951610260312073
lift_early,0,31,0,0.02346990478752481
lift_early,0,32,0,0.03402699528636053
lift_early,0,33,0,0.03994367514903762
lift_early,0,34,0,0.02453729281142485
lift_early,0,35,0,0.016980692903327793
lift_early,0,36,0,0.013166029230250467
lift_early,0,37,0,-0.008333329446283535
lift_early,0,38,0,-0.030321959469334452
lift_early,0,39,0,-0.003620467873972286
lift_early,0,40,0,-0.004097021325422293
lift_early,0,41,0,-0.0020093071369029426
lift_early,0,42,0,0.005348273349101319
lift_early,0,43,0,0.0026389452011174527
lift_early,0,44,0,0.0036442140859763265
lift_early,0,45,0,-0.0005037817885906072
lift_early,0,46,0,-0.0016306706406014713
lift_early,0,47,0,-0.0009143828866307879
lift_early,0,48,0,-0.0012478800777763032
lift_early,0,49,0,-0.0012148074210633932
lift_early,0,50,1,-0.0012148074210633932
lift_early,0,51,1,-0.0016834863840312572
lift_early,0,52,1,-0.0021779304757190503
lift_early,0,53,1,-0.0016467851269768151
lift_early,0,54,1,-0.002042530131080888
lift_early,0,55,1,-0.0016540674560661932
lift_early,0,56,1,0.0003774518602388567
lift_early,0,57,1,0.0056383389076587334
lift_early,0,58,1,0.02326479165205683
lift_early,0,59,1,0.060045331513659234
lift_early,0,60,1,0.12074118014685614
lift_early,0,61,1,0.2054062626306222
lift_early,0,62,1,0.3116284467136087
lift_early,0,63,1,0.43349198599989386
