dataset,episode_index,grasp_progress,tilt_deg
insert_jc_fix_3,0,0.0,0.9977431682896006
insert_jc_fix_3,0,0.01,1.0009022965952419
insert_jc_fix_3,0,0.02,1.0011758520400287
insert_jc_fix_3,0,0.03,1.001142131611897
insert_jc_fix_3,0,0.04,0.9992163167341599
insert_jc_fix_3,0,0.05,0.9911553210784023
insert_jc_fix_3,0,0.06,0.9879127248881737
insert_jc_fix_3,0,0.07,0.9763392591131004
insert_jc_fix_3,0,0.08,0.974652915524081
insert_jc_fix_3,0,0.09,0.9397044677903618
insert_jc_fix_3,0,0.1,0.820475766609457
insert_jc_fix_3,0,0.11,0.6728861463594664
insert_jc_fix_3,0,0.12,1.034709970195396
insert_jc_fix_3,0,0.13,1.2547059872168127
insert_jc_fix_3,0,0.14,1.8012328767755916
insert_jc_fix_3,0,0.15,2.247924041586515
insert_jc_fix_3,0,0.16,2.778933289197838
insert_jc_fix_3,0,0.17,3.3705957054229914
insert_jc_fix_3,0,0.18,4.898897860106434
insert_jc_fix_3,0,0.19,5.6206001232858025
insert_jc_fix_3,0,0.2,6.116776830694605
insert_jc_fix_3,0,0.21,6.280573457645889
insert_jc_fix_3,0,0.22,6.575967968115556
insert_jc_fix_3,0,0.23,6.550369420111646
insert_jc_fix_3,0,0.24,7.028257232216724
insert_jc_fix_3,0,0.25,7.2522791315388275
insert_jc_fix_3,0,0.26,7.0795658880504675
insert_jc_fix_3,0,0.27,6.814871648230254
insert_jc_fix_3,0,0.28,6.724275643968809
insert_jc_fix_3,0,0.29,6.712727433908463
insert_jc_fix_3,0,0.3,6.366588881338605
insert_jc_fix_3,0,0.31,6.0800343256129805
insert_jc_fix_3,0,0.32,6.141451523030008
insert_jc_fix_3,0,0.33,5.727627253712676
insert_jc_fix_3,0,0.34,5.809380121602151
insert_jc_fix_3,0,0.35000000000000003,5.245509798683366
insert_jc_fix_3,0,0.36,3.9310171736025286
insert_jc_fix_3,0,0.37,3.0083245291063707
insert_jc_fix_3,0,0.38,2.54398464297821
insert_jc_fix_3,0,0.39,2.6360607778939653
insert_jc_fix_3,0,0.4,2.1950806853954434
insert_jc_fix_3,0,0.41000000000000003,2.3695325175715003
insert_jc_fix_3,0,0.42,2.6987569304321557
insert_jc_fix_3,0,0.43,2.8926198311126328
insert_jc_fix_3,0,0.44,2.8399559231013494
insert_jc_fix_3,0,0.45,2.6012541699331857
insert_jc_fix_3,0,0.46,1.453196502665462
insert_jc_fix_3,0,0.47000000000000003,1.2618163988406257
insert_jc_fix_3,0,0.48,1.2208432490299237
insert_jc_fix_3,0,0.49,1.2160369636618196
insert_jc_fix_3,0,0.5,1.1911742689971663
insert_jc_fix_3,0,0.51,1.1664908598952568
insert_jc_fix_3,0,0.52,1.107782036073851
insert_jc_fix_3,0,0.53,1.9982047595829817
insert_jc_fix_3,0,0.54,2.38008852772993
insert_jc_fix_3,0,0.55,2.3183160509324146
insert_jc_fix_3,0,0.56,1.996112543203845
insert_jc_fix_3,0,0.5700000000000001,1.3239825184642753
insert_jc_fix_3,0,0.58,1.0577813034988743
